LGA Name,Tenure type,Very low income <$603 per wk,Low income $603-$964 per wk,Moderate income $965-$1446 per wk,Total
Goyder (DC),Being purchased (incl rent/buy),70,95,85,475
Goyder (DC),Rented: Public,8,0,0,11
Goyder (DC),Rented: Private and not stated,83,33,39,226
Goyder (DC),Rented: Other landlord,15,10,6,48
Goyder (DC),Rented: TOTAL,106,43,45,285
Goyder (DC),Other tenure types,300,186,126,880
Goyder (DC),Total households,478,318,262,1645
Grant (DC),Being purchased (incl rent/buy),75,87,178,1132
Grant (DC),Rented: Public,0,0,0,0
Grant (DC),Rented: Private and not stated,78,65,53,271
Grant (DC),Rented: Other landlord,18,9,5,59
Grant (DC),Rented: TOTAL,96,74,58,330
Grant (DC),Other tenure types,262,238,181,1252
Grant (DC),Total households,434,394,415,2721
Holdfast Bay (C),Being purchased (incl rent/buy),219,267,452,4223
Holdfast Bay (C),Rented: Public,154,41,9,231
Holdfast Bay (C),Rented: Private and not stated,790,649,712,3998
Holdfast Bay (C),Rented: Other landlord,143,27,16,228
Holdfast Bay (C),Rented: TOTAL,1087,717,737,4457
Holdfast Bay (C),Other tenure types,1555,1092,924,6188
Holdfast Bay (C),Total households,2868,2081,2116,14872
Kangaroo Island (DC),Being purchased (incl rent/buy),94,86,97,555
Kangaroo Island (DC),Rented: Public,28,3,6,44
Kangaroo Island (DC),Rented: Private and not stated,122,53,47,321
Kangaroo Island (DC),Rented: Other landlord,17,7,7,35
Kangaroo Island (DC),Rented: TOTAL,167,63,60,400
Kangaroo Island (DC),Other tenure types,255,174,128,862
Kangaroo Island (DC),Total households,513,328,281,1812
Karoonda East Murray (DC),Being purchased (incl rent/buy),21,16,26,109
Karoonda East Murray (DC),Rented: Public,3,0,0,9
Karoonda East Murray (DC),Rented: Private and not stated,16,11,10,53
Karoonda East Murray (DC),Rented: Other landlord,0,4,3,14
Karoonda East Murray (DC),Rented: TOTAL,19,15,13,76
Karoonda East Murray (DC),Other tenure types,89,45,26,244
Karoonda East Murray (DC),Total households,127,85,65,419
Kimba (DC),Being purchased (incl rent/buy),9,10,20,89
Kimba (DC),Rented: Public,0,0,0,9
Kimba (DC),Rented: Private and not stated,14,9,9,53
Kimba (DC),Rented: Other landlord,0,0,0,4
Kimba (DC),Rented: TOTAL,14,9,9,66
Kimba (DC),Other tenure types,55,47,43,235
Kimba (DC),Total households,76,62,67,389
Kingston (DC),Being purchased (incl rent/buy),23,40,45,239
Kingston (DC),Rented: Public,3,6,3,22
Kingston (DC),Rented: Private and not stated,49,38,21,155
Kingston (DC),Rented: Other landlord,14,3,4,31
Kingston (DC),Rented: TOTAL,66,47,28,208
Kingston (DC),Other tenure types,138,116,70,516
Kingston (DC),Total households,229,209,143,953
Light (RegC),Being purchased (incl rent/buy),155,233,317,2555
Light (RegC),Rented: Public,18,5,7,39
Light (RegC),Rented: Private and not stated,143,106,98,545
Light (RegC),Rented: Other landlord,13,7,8,97
Light (RegC),Rented: TOTAL,174,118,113,681
Light (RegC),Other tenure types,389,348,291,1786
Light (RegC),Total households,721,698,716,5023
Lower Eyre Peninsula (DC),Being purchased (incl rent/buy),56,73,108,742
Lower Eyre Peninsula (DC),Rented: Public,6,3,3,10
Lower Eyre Peninsula (DC),Rented: Private and not stated,58,45,40,244
Lower Eyre Peninsula (DC),Rented: Other landlord,12,4,8,36
Lower Eyre Peninsula (DC),Rented: TOTAL,76,52,51,290
Lower Eyre Peninsula (DC),Other tenure types,226,161,137,895
Lower Eyre Peninsula (DC),Total households,358,289,287,1933
Loxton Waikerie (DC),Being purchased (incl rent/buy),130,180,237,1353
Loxton Waikerie (DC),Rented: Public,81,21,13,148
Loxton Waikerie (DC),Rented: Private and not stated,205,160,113,722
Loxton Waikerie (DC),Rented: Other landlord,61,29,20,175
Loxton Waikerie (DC),Rented: TOTAL,347,210,146,1045
Loxton Waikerie (DC),Other tenure types,643,483,289,2099
Loxton Waikerie (DC),Total households,1121,880,666,4497
Mallala (DC),Being purchased (incl rent/buy),128,180,272,1658
Mallala (DC),Rented: Public,4,0,0,7
Mallala (DC),Rented: Private and not stated,86,44,57,298
Mallala (DC),Rented: Other landlord,12,7,3,27
Mallala (DC),Rented: TOTAL,102,51,60,332
Mallala (DC),Other tenure types,255,230,154,1040
Mallala (DC),Total households,491,463,491,3032
Maralinga Tjarutja (AC),Being purchased (incl rent/buy),0,0,0,0
Maralinga Tjarutja (AC),Rented: Public,0,0,0,0
Maralinga Tjarutja (AC),Rented: Private and not stated,0,0,0,0
