Suburb,Local government area,LGA_CODE_2021
Sawyers Valley,Mundaring,56090
Scarborough,Stirling,57910
Secret Harbour,Rockingham,57490
Serpentine,Serpentine-Jarrahdale,57700
Seville Grove,Armadale,50210
Shelley,Canning,51330
Shenton Park,Nedlands,56580
Shenton Park,Subiaco,57980
Shoalwater,Rockingham,57490
Sinagra,Wanneroo,58760
Singleton,Rockingham,57490
Sorrento,Joondalup,54170
South Fremantle,Fremantle,53430
South Guildford,Swan,58050
South Lake,Cockburn,51820
South Perth,South Perth,57840
Southern River,Gosnells,53780
Spearwood,Cockburn,51820
St James,Canning,51330
St James,Victoria Park,58510
Stirling,Stirling,57910
Stoneville,Mundaring,56090
Stratton,Swan,58050
Subiaco,Cambridge,51310
Subiaco,Subiaco,57980
Success,Cockburn,51820
Swan View,Mundaring,56090
Swan View,Swan,58050
Swanbourne,Claremont,51750
Swanbourne,Nedlands,56580
Tamala Park,Wanneroo,58760
Tapping,Wanneroo,58760
The Lakes,Mundaring,56090
The Spectacles,Kwinana,54830
The Vines,Swan,58050
Thornlie,Gosnells,53780
Treeby,Cockburn,51820
Trigg,Stirling,57910
Tuart Hill,Stirling,57910
Two Rocks,Wanneroo,58760
Upper Swan,Swan,58050
Victoria Park,Victoria Park,58510
Viveash,Swan,58050
Waikiki,Rockingham,57490
Walliston,Kalamunda,54200
Wandi,Kwinana,54830
Wangara,Wanneroo,58760
Wanneroo,Wanneroo,58760
Warnbro,Rockingham,57490
Warwick,Joondalup,54170
Waterford,South Perth,57840
Watermans Bay,Stirling,57910
Wattle Grove,Kalamunda,54200
Wattleup,Cockburn,51820
Wellard,Kwinana,54830
Welshpool,Canning,51330
Welshpool,Victoria Park,58510
Wembley Downs,Cambridge,51310
Wembley Downs,Stirling,57910
Wembley,Cambridge,51310
Wembley,Stirling,57910
West Leederville,Cambridge,51310
West Perth,Perth,57080
West Perth,Vincent,58570
West Swan,Swan,58050
Westminster,Stirling,57910
Whitby,Serpentine-Jarrahdale,57700
White Gum Valley,Fremantle,53430
Whiteman,Swan,58050
Willagee,Melville,55320
Willetton,Canning,51330
Wilson,Canning,51330
Winthrop,Melville,55320
Woodbridge,Swan,58050
Woodlands,Stirling,57910
Woodvale,Joondalup,54170
Woodvale,Wanneroo,58760
Wooroloo,Mundaring,56090
Wungong,Armadale,50210
Yanchep,Wanneroo,58760
Yangebup,Cockburn,51820
Yokine,Stirling,57910
