SUBURB,Suburb,Latitude,Longitude,Distance_to_Beach,Price,Land_Area
Champion Lakes,Champion Lakes,-32.11550874430894,115.99142378292683,264.0,399495.9349593496,1752.5853658536585
Chidlow,Chidlow,-31.85227657228261,116.26736321847825,1310.0,499861.4130434783,12288.652173913044
Churchlands,Churchlands,-31.922145858956522,115.79308992956523,3546.0,1315556.5217391304,878.7130434782608
City Beach,City Beach,-31.926282914244602,115.76441370215827,873.0,1644610.6618705036,858.2374100719425
Claremont,Claremont,-31.980377986,115.78390222363636,2813.0,1291068.8727272728,569.5272727272727
Clarkson,Clarkson,-31.684721742,115.72584720750001,2482.0,372570.83125,998.18125
Cloverdale,Cloverdale,-31.961923836666667,115.94603688939394,4064.0,439909.0909090909,654.030303030303
Cockburn Central,Cockburn Central,-32.12643537272728,115.84965283636365,8311.0,492742.42424242425,1185.3030303030303
Como,Como,-31.99760020425926,115.86582760555555,1048.0,971039.8148148148,735.5555555555555
Connolly,Connolly,-31.748376136635514,115.75046118037383,2356.0,718899.5327102804,747.1121495327103
Coogee,Coogee,-32.11906217172131,115.77197783196722,949.0,784321.3114754099,668.1065573770492
Coolbellup,Coolbellup,-32.080680355862064,115.80629017701149,4370.0,478557.4712643678,641.2068965517242
Coolbinia,Coolbinia,-31.91444444357664,115.85360806350366,4914.0,1139125.5474452556,771.021897810219
Cooloongup,Cooloongup,-32.29593063203125,115.7595688703125,3029.0,288258.984375,734.03125
Cottesloe,Cottesloe,-31.992449803913047,115.76015221014492,812.0,1646283.3333333333,622.6521739130435
Craigie,Craigie,-31.78624905724138,115.76541882068966,2993.0,448568.9655172414,801.6436781609195
Crawley,Crawley,-31.981948712631578,115.81796947368422,2364.0,963052.6315789474,490.3157894736842
Currambine,Currambine,-31.73284114316456,115.74595648607595,2411.0,543477.8481012658,683.1518987341772
Daglish,Daglish,-31.951355132553193,115.81006663297873,3728.0,1049244.680851064,688.2765957446809
Dalkeith,Dalkeith,-31.995386518873236,115.79893862957745,1124.0,1961921.704225352,950.4647887323944
Darch,Darch,-31.81270534695876,115.84577230773196,9522.0,573178.030927835,546.2422680412371
Darling Downs,Darling Downs,-32.19351309054545,115.99660002363636,8916.0,861818.1818181818,20804.054545454546
Darlington,Darlington,-31.914795896875,116.076839309375,8651.0,705283.203125,2536.3984375
Dayton,Dayton,-31.857350152539684,115.97129441269841,3751.0,444976.1904761905,373.1111111111111
Dianella,Dianella,-31.88884512984375,115.87493577812499,6458.0,670558.59375,640.125
Doubleview,Doubleview,-31.895718360864194,115.7822740382716,2539.0,843024.6913580247,505.39506172839504
Duncraig,Duncraig,-31.832138717666666,115.77650757777778,2622.0,718932.2222222222,707.8111111111111
East Cannington,East Cannington,-32.00914140141509,115.9578054009434,7296.0,510370.2358490566,798.1698113207547
East Fremantle,East Fremantle,-32.040887040303026,115.76712200505051,611.0,1125906.5656565656,806.040404040404
East Perth,East Perth,-31.952594983,115.87450114999999,657.0,534500.0,1311.9
East Victoria Park,East Victoria Park,-31.989096382025316,115.90217833417721,4173.0,650207.4430379746,515.2658227848101
Eden Hill,Eden Hill,-31.89138834666667,115.94467344270834,3327.0,467283.3333333333,905.5625
Edgewater,Edgewater,-31.764898097207208,115.78415647117117,5020.0,557895.9459459459,776.5315315315315
Eglinton,Eglinton,-31.596910656029408,115.66909472352941,1550.0,395904.4117647059,667.6470588235294
Ellenbrook,Ellenbrook,-31.77579782598592,115.97143922676055,12464.0,381492.95774647885,550.1549295774648
Embleton,Embleton,-31.902956959157894,115.90895232210526,3335.0,525409.4736842106,579.9894736842106
Ferndale,Ferndale,-32.030815211764704,115.92539471092437,3997.0,459460.08403361344,1018.8403361344538
Floreat,Floreat,-31.938650937177417,115.79427255241936,3687.0,1474612.9032258065,797.1451612903226
Forrestdale,Forrestdale,-32.15466498925926,115.93547820185185,7051.0,663029.3148148148,9841.537037037036
Forrestfield,Forrestfield,-31.983316780000003,116.00528473913043,9057.0,417260.8695652174,842.5217391304348
Fremantle,Fremantle,-32.054379128225804,115.76137822258065,1175.0,854387.0967741936,547.7258064516129
Gidgegannup,Gidgegannup,-31.800014967857145,116.19020217857144,8208.0,793422.619047619,73046.72619047618
